离乱	w
ṏ	|o
ộ	|o
ǭ	|o
ǿ	|o
ớ	|o
ờ	|o
ỡ	|o
ở	|o
ợ	|o
ɷ	|o
ⱺ	|o
ᴖ	|o
ᵔ	|o
ᴗ	|o
ᵕ	|o
Ō	|O
Ó	|O
Ő	|O
Ǒ	|O
Ò	|O
Ô	|O
Ŏ	|O
Ȯ	|O
Ö	|O
Õ	|O
ᴏ	|O
ᴼ	|O
Ɔ	|O
ᴐ	|O
Ø	|O
Ǫ	|O
Ọ	|O
Ơ	|O
Ɵ	|O
Ꝋ	|O
Ꝍ	|O
Ṓ	|O
Ṑ	|O
Ố	|O
Ồ	|O
Ỗ	|O
Ổ	|O
Ȱ	|O
Ȫ	|O
Ȭ	|O
Ṍ	|O
Ṏ	|O
Ộ	|O
Ǭ	|O
Ǿ	|O
Ớ	|O
Ờ	|O
Ỡ	|O
Ở	|O
Ợ	|O
ṕ	|p
ṗ	|p
ᵖ	|p
ᵽ	|p
ꝑ	|p
ᵱ	|p
ƥ	|p
ᶈ	|p
ꝓ	|p
ꝕ	|p
ɸ	|p
ᶲ	|p
ⱷ	|p
Ṕ	|P
Ṗ	|P
ᴘ	|P
ᴾ	|P
Ᵽ	|P
Ꝑ	|P
Ƥ	|P
Ꝓ	|P
Ꝕ	|P
ꟼ	|P
ɋ	|q
ꝗ	|q
ꝙ	|q
ʠ	|q
Ɋ	|Q
Ꝗ	|Q
Ꝙ	|Q
ŕ	|r
ř	|r
ȑ	|r
ȓ	|r
ṙ	|r
ᵣ	|r
ɍ	|r
ꞧ	|r
ᵲ	|r
ŗ	|r
ṟ	|r
ṛ	|r
ṝ	|r
ᵳ	|r
ɽ	|r
ᶉ	|r
ꭇ	|r
ꭈ	|r
ꭊ	|r
ꭉ	|r
ꝵ	|r
ꭋ	|r
ꭌ	|r
ɹ	|r
ʴ	|r
ɺ	|r
ɻ	|r
ʵ	|r
ⱹ	|r
ɼ	|r
ʳ	|r
ɾ	|r
ɿ	|r
ꝛ	|r
ꝝ	|r
Ŕ	|R
Ř	|R
Ȑ	|R
Ȓ	|R
Ṙ	|R
ʀ	|R
ᴙ	|R
ᴿ	|R
Ʀ	|R
ꭆ	|R
Ɍ	|R
Ꞧ	|R
Ŗ	|R
Ṟ	|R
Ṛ	|R
Ṝ	|R
Ɽ	|R
ꝶ	|R
ʶ	|R
ʁ	|R
Ꝛ	|R
Ꝝ	|R
ś	|s
ŝ	|s
š	|s
ṡ	|s
ˢ	|s
ʂ	|s
ᶳ	|s
ᵴ	|s
ꞩ	|s
ᶊ	|s
ş	|s
ṣ	|s
ș	|s
ȿ	|s
ṥ	|s
ṧ	|s
ṩ	|s
ʃ	|s
ᶴ	|s
ʆ	|s
ᶘ	|s
ʅ	|s
ƪ	|s
ß	|s
ſ	|s
ẛ	|s
ẜ	|s
ẝ	|s
Ś	|S
Ŝ	|S
Š	|S
Ṡ	|S
ꜱ	|S
Ꞩ	|S
Ş	|S
Ṣ	|S
Ș	|S
Ṥ	|S
Ṧ	|S
Ṩ	|S
Ʃ	|S
ẞ,	|S
ť	|t
ṫ	|t
ẗ	|t
ᵗ	|t
ₜ	|t
ʈ	|t
þ	|t
ꝥ	|t
ꝧ	|t
ŧ	|t
ⱦ	|t
ţ	|t
ṯ	|t
ṱ	|t
ṭ	|t
ț	|t
ƭ	|t
ᵵ	|t
ƫ	|t
ᶵ	|t
ʇ	|t
ȶ	|t
ꝷ	|t
Ť	|T
Ṫ	|T
ᴛ	|T
ᵀ	|T
Ʈ	|T
Þ	|T
Ꝥ	|T
Ꝧ	|T
Ŧ	|T
Ⱦ	|T
Ţ	|T
Ṯ	|T
Ṱ	|T
Ṭ	|T
Ț	|T
Ƭ	|T
Ʇ	|T
ū	|u
ú	|u
ű	|u
ǔ	|u
ù	|u
ȕ	|u
û	|u
ŭ	|u
ȗ	|u
ü	|u
ǖ	|u
ǘ	|u
ǚ	|u
ǜ	|u
ů	|u
ũ	|u
ᵤ	|u
ᵘ	|u
ʉ	|u
ᶶ	|u
ủ	|u
ų	|u
ṷ	|u
ụ	|u
ṳ	|u
ṵ	|u
ư	|u
ʊ	|u
ᶷ	|u
ᵿ	|u
ᶙ	|u
ṻ	|u
ṹ	|u
ứ	|u
ừ	|u
ữ	|u
ử	|u
ự	|u
ꭒ	|u
ꭟ	|u
ꝸ	|u
ꭎ	|u
ꭏ	|u
ᴝ	|u
ᵙ	|u
ᴞ	|u
Ū	|U
Ú	|U
Ű	|U
Ǔ	|U
Ù	|U
Ȕ	|U
Û	|U
Ŭ	|U
Ȗ	|U
Ü	|U
Ǖ	|U
Ǘ	|U
Ǚ	|U
Ǜ	|U
Ů	|U
Ũ	|U
ᴜ	|U
ᵁ	|U
ᶸ	|U
Ʉ	|U
Ủ	|U
Ų	|U
Ṷ	|U
Ụ	|U
Ṳ	|U
Ṵ	|U
Ư	|U
Ʊ	|U
Ṻ	|U
Ṹ	|U
Ứ	|U
Ừ	|U
Ữ	|U
Ử	|U
Ự	|U
ü	|v
ǖ	|v
ǘ	|v
ǚ	|v
ǜ	|v
ṽ	|v
ᵛ	|v
ᵥ	|v
ṿ	|v
ꝟ	|v
ʋ	|v
ᶹ	|v
ᶌ	|v
ⱴ	|v
ⱱ	|v
ỽ	|v
ʌ	|v
ᶺ	|v
Ü	|V
Ǖ	|V
Ǘ	|V
Ǚ	|V
Ǜ	|V
Ṽ	|V
ᴠ	|V
ⱽ	|V
Ṿ	|V
Ꝟ	|V
Ʋ	|V
Ỽ	|V
Ʌ	|V
ẃ	|w
ẁ	|w
ŵ	|w
ẇ	|w
ẅ	|w
ẘ	|w
ʷ	|w
ẉ	|w
ƿ	|w
ʍ	|w
ⱳ	|w
Ẃ	|W
Ẁ	|W
Ŵ	|W
Ẇ	|W
Ẅ	|W
W̊	|W
ᴡ	|W
ᵂ	|W
Ẉ	|W
Ƿ	|W
Ⱳ	|W
ẋ	|x
ẍ	|x
ᶍ	|x
ˣ	|x
ₓ	|x
ꭖ	|x
ꭗ	|x
ꭘ	|x
ꭙ	|x
Ẋ	|X
Ẍ	|X
ȳ	|y
ý	|y
ỳ	|y
ŷ	|y
ẏ	|y
ÿ	|y
ẙ	|y
ỹ	|y
ʸ	|y
ɏ	|y
ỷ	|y
ỵ	|y
ƴ	|y
ʎ	|y
ỿ	|y
ꭚ	|y
Ȳ	|Y
Ý	|Y
Ỳ	|Y
Ŷ	|Y
Ẏ	|Y
Ÿ	|Y
Ỹ	|Y
ʏ	|Y
Ɏ	|Y
Ỷ	|Y
Ỵ	|Y
Ƴ	|Y
Ỿ	|Y
ź	|z
ž	|z
ẑ	|z
ż	|z
ᶻ	|z
ʐ	|z
ᶼ	|z
ʑ	|z
ᶽ	|z
ƶ	|z
ẕ	|z
ẓ	|z
ᵶ	|z
ȥ	|z
ⱬ	|z
ᶎ	|z
ʒ	|z
ᶾ	|z
ǯ	|z
ʓ	|z
ƹ	|z
ƺ	|z
ᶚ	|z
θ	|z
ᶿ	|z
ɀ	|z
ꝣ	|z
Ź	|Z
Ž	|Z
Ẑ	|Z
Ż	|Z
ᴢ	|Z
Ƶ	|Z
Ẕ	|Z
Ẓ	|Z
Ȥ	|Z
Ⱬ	|Z
Ʒ	|Z
ᴣ	|Z
Ǯ	|Z
Ƹ	|Z
Ɀ	|Z
Ꝣ	|Z
ꜳ	|aa
Ꜳ	|AA
æ	|ae
ǣ	|ae
ǽ	|ae
ᵆ	|ae
ᴂ	|ae
Æ	|AE
Ǣ	|AE
Ǽ	|AE
ᴭ	|AE
ᴁ	|AE
ꜵ	|ao
Ꜵ	|AO
ꜷ	|au
Ꜷ	|AU
ꜹ	|av
ꜻ	|av
Ꜹ	|AV
Ꜻ	|AV
ꜽ	|ay
Ꜽ	|AY
ȸ	|db
ﬀ	|ff
ﬃ	|ffi
ﬄ	|ffl
ﬁ	|fi
ﬂ	|fl
ʩ	|fn
ƕ	|hv
Ƕ	|HV
ĳ	|ij
Ĳ	|IJ
ǉ	|lj
ỻ	|ll
Ỻ	|LL
ʪ	|ls
ʫ	|lz
ɮ	|lz
ǌ	|nj
ǋ	|Nj
Ǌ	|NJ
œ	|oe
ᴔ	|oe
Œ	|OE
ɶ	|OE
ƣ	|oi
Ƣ	|OI
ꝏ	|oo
Ꝏ	|OO
ȣ	|ou
Ȣ	|OU
ᴽ	|OU
ȹ	|qp
℞	|Rx
ʨ	|tc
ᵺ	|th
ʦ	|ts
ʧ	|ts
ꜩ	|tz
Ꜩ	|TZ
ᵫ	|ue
ꝡ	|vy
Ꝡ	|VY
ʬ	|ww
⁰	|sb
¹	|sb
²	|sb
³	|sb
⁴	|sb
⁵	|sb
⁶	|sb
⁷	|sb
⁸	|sb
⁹	|sb
˜	|sb
⁺	|sb
⁻	|sb
⁼	|sb
⁽	|sb
⁾	|sb
ᴬ	|sb
ᵃ	|sb
ᵄ	|sb
ᵅ	|sb
ᶛ	|sb
ᴭ	|sb
ᵆ	|sb
ᴮ	|sb
ᴯ	|sb
ᵇ	|sb
ᵝ	|sb
ᶜ	|sb
ᵓ	|sb
ᶝ	|sb
ᴰ	|sb
ᵈ	|sb
ᶞ	|sb
ᵟ	|sb
ᴱ	|sb
ᵉ	|sb
ᴲ	|sb
ᵊ	|sb
ᵋ	|sb
ᶟ	|sb
ᵌ	|sb
ᶠ	|sb
ᶡ	|sb
ᶲ	|sb
ᵠ	|sb
ᴳ	|sb
ᵍ	|sb
ᶢ	|sb
ˠ	|sb
ᵞ	|sb
ᴴ	|sb
ʰ	|sb
ᶣ	|sb
ʱ	|sb
ᴵ	|sb
ⁱ	|sb
ᶤ	|sb
ᵎ	|sb
ᶥ	|sb
ᴶ	|sb
ʲ	|sb
ᶨ	|sb
ᴷ	|sb
ᵏ	|sb
ᴸ	|sb
ᶫ	|sb
ˡ	|sb
ᶩ	|sb
ᶪ	|sb
ᴹ	|sb
ᵐ	|sb
ᶬ	|sb
ᵚ	|sb
ᶭ	|sb
ᴺ	|sb
ᴻ	|sb
ⁿ	|sb
ᵑ	|sb
ᶮ	|sb
ᶯ	|sb
ᴼ	|sb
ᵒ	|sb
ᶱ	|sb
ᴽ	|sb
ᴾ	|sb
ᵖ	|sb
ᴿ	|sb
ʳ	|sb
ʶ	|sb
ʴ	|sb
ʵ	|sb
ˢ	|sb
ᶴ	|sb
ᶳ	|sb
ᵀ	|sb
ᵗ	|sb
ᶵ	|sb
ᶿ	|sb
ᵁ	|sb
ᵘ	|sb
ᶶ	|sb
ᶷ	|sb
ᵙ	|sb
ⱽ	|sb
ᵛ	|sb
ᶺ	|sb
ᶹ	|sb
ᵂ	|sb
ʷ	|sb
ˣ	|sb
ᵡ	|sb
ʸ	|sb
ᶻ	|sb
ᶾ	|sb
ᶽ	|sb
ᶼ	|sb
₀	|xb
₁	|xb
₂	|xb
₃	|xb
₄	|xb
₅	|xb
₆	|xb
₇	|xb
₈	|xb
₉	|xb
₊	|xb
₋	|xb
₌	|xb
₍	|xb
₎	|xb
‸	|xb
ᴀ	|xb
ₐ	|xb
ᴁ	|xb
ʙ	|xb
ᴃ	|xb
ᵦ	|xb
ᴄ	|xb
ᴐ	|xb
ᴒ	|xb
ᴅ	|xb
ᴆ	|xb
ᴇ	|xb
ₑ	|xb
ₔ	|xb
ᵩ	|xb
ɢ	|xb
ʛ	|xb
ᴦ	|xb
ᵧ	|xb
ʜ	|xb
ₕ	|xb
ɪ	|xb
ᵻ	|xb
ᵢ	|xb
ᴊ	|xb
ⱼ	|xb
ᴋ	|xb
ₖ	|xb
ʟ	|xb
ₗ	|xb
ᴌ	|xb
ᴧ	|xb
ᴍ	|xb
ₘ	|xb
ꟺ	|xb
ɴ	|xb
ᴎ	|xb
ₙ	|xb
ᴏ	|xb
ₒ	|xb
ɶ	|xb
ʘ	|xb
ᴓ	|xb
ᴑ	|xb
ᴘ	|xb
ₚ	|xb
ᴨ	|xb
ᴪ	|xb
ʀ	|xb
ᵣ	|xb
ᴙ	|xb
ʁ	|xb
ᴚ	|xb
ᵨ	|xb
ₛ	|xb
ᴛ	|xb
ₜ	|xb
ᴜ	|xb
ᵤ	|xb
ᵾ	|xb
ᴠ	|xb
ᵥ	|xb
ᴡ	|xb
ₓ	|xb
ᵪ	|xb
ʏ	|xb
ᴢ	|xb
ᴣ	|xb
α	|xl
β	|xl
γ	|xl
δ	|xl
ε	|xl
ζ	|xl
η	|xl
θ	|xl
ι	|xl
κ	|xl
λ	|xl
μ	|xl
ν	|xl
ξ	|xl
ο	|xl
π	|xl
ρ	|xl
σ	|xl
ς	|xl
τ	|xl
υ	|xl
φ	|xl
χ	|xl
ψ	|xl
ω	|xl
Α	|xld
Β	|xld
Γ	|xld
Δ	|xld
Ε	|xld
Ζ	|xld
Η	|xld
Θ	|xld
Ι	|xld
Κ	|xld
Λ	|xld
Μ	|xld
Ν	|xld
Ξ	|xld
Ο	|xld
Π	|xld
Ρ	|xld
Σ	|xld
Τ	|xld
Υ	|xld
Φ	|xld
Χ	|xld
Ψ	|xld
Ω	|xld
а	|ey
б	|ey
в	|ey
г	|ey
д	|ey
е	|ey
ё	|ey
ж	|ey
з	|ey
и	|ey
й	|ey
к	|ey
л	|ey
м	|ey
н	|ey
о	|ey
п	|ey
р	|ey
с	|ey
т	|ey
у	|ey
ф	|ey
х	|ey
ц	|ey
ч	|ey
ш	|ey
щ	|ey
ъ	|ey
ы	|ey
ь	|ey
э	|ey
ю	|ey
я	|ey
А	|eyd
Б	|eyd
В	|eyd
Г	|eyd
Д	|eyd
Е	|eyd
Ё	|eyd
Ж	|eyd
З	|eyd
И	|eyd
Й	|eyd
К	|eyd
Л	|eyd
М	|eyd
Н	|eyd
О	|eyd
П	|eyd
Р	|eyd
С	|eyd
Т	|eyd
У	|eyd
Ф	|eyd
Х	|eyd
Ц	|eyd
Ч	|eyd
Ш	|eyd
Щ	|eyd
Ъ	|eyd
Ы	|eyd
Ь	|eyd
Э	|eyd
Ю	|eyd
Я	|eyd
㋀	|yf
㋁	|yf
㋂	|yf
㋃	|yf
㋄	|yf
㋅	|yf
㋆	|yf
㋇	|yf
㋈	|yf
㋉	|yf
㋊	|yf
㋋	|yf
㏠	|rq
㏡	|rq
㏢	|rq
㏣	|rq
㏤	|rq
㏥	|rq
㏦	|rq
㏧	|rq
㏨	|rq
㏩	|rq
㏪	|rq
㏫	|rq
㏬	|rq
㏭	|rq
㏮	|rq
㏯	|rq
㏰	|rq
㏱	|rq
㏲	|rq
㏳	|rq
㏴	|rq
㏵	|rq
㏶	|rq
㏷	|rq
㏸	|rq
㏹	|rq
㏺	|rq
㏻	|rq
㏼	|rq
㏽	|rq
㏾	|rq
㊊	|yr
㊋	|yr
㊌	|yr
㊍	|yr
㊎	|yr
㊏	|yr
㊐	|yr
㊗	|yr
㊡	|yr
㈪	|yr
㈫	|yr
㈬	|yr
㈭	|yr
㈮	|yr
㈯	|yr
㈰	|yr
㈷	|yr
㉁	|yr
㉀	|yr
㍘	|sj
㍙	|sj
㍚	|sj
㍛	|sj
㍜	|sj
㍝	|sj
㍞	|sj
㍟	|sj
㍠	|sj
㍡	|sj
㍢	|sj
㍣	|sj
㍤	|sj
㍥	|sj
㍦	|sj
㍧	|sj
㍨	|sj
㍩	|sj
㍪	|sj
㍫	|sj
㍬	|sj
㍭	|sj
㍮	|sj
㍯	|sj
㍰	|sj
Å	|dw
℃	|dw
％	|dw
‰	|dw
‱	|dw
°	|dw
℉	|dw
㏃	|dw
㏆	|dw
㎈	|dw
㏄	|dw
㏅	|dw
㎝	|dw
㎠	|dw
㎤	|dw
㏈	|dw
㎗	|dw
㎙	|dw
㎓	|dw
㎬	|dw
㏉	|dw
㏊	|dw
㏋	|dw
㎐	|dw
㏌	|dw
㎄	|dw
㎅	|dw
㎉	|dw
㎏	|dw
㎑	|dw
㏍	|dw
㎘	|dw
㎞	|dw
㏎	|dw
㎢	|dw
㎦	|dw
㎪	|dw
㏏	|dw
㎸	|dw
㎾	|dw
㏀	|dw
㏐	|dw
㏓	|dw
㎧	|dw
㎨	|dw
㎡	|dw
㎥	|dw
㎃	|dw
㏔	|dw
㎆	|dw
㎎	|dw
㎒	|dw
㏕	|dw
㎖	|dw
㎜	|dw
㎟	|dw
㎣	|dw
㏖	|dw
㎫	|dw
㎳	|dw
㎷	|dw
㎹	|dw
㎽	|dw
㎿	|dw
㏁	|dw
㎁	|dw
㎋	|dw
㎚	|dw
㎱	|dw
㎵	|dw
㎻	|dw
㏘	|dw
㎩	|dw
㎀	|dw
㎊	|dw
㏗	|dw
㏙	|dw
㏚	|dw
㎰	|dw
㎴	|dw
㎺	|dw
㎭	|dw
㎮	|dw
㎯	|dw
㏛	|dw
㏜	|dw
㎔	|dw
㏝	|dw
㎂	|dw
㎌	|dw
㎍	|dw
㎕	|dw
㎛	|dw
㎲	|dw
㎶	|dw
㎼	|dw
￥	|hb
¥	|hb
¤	|hb
￠	|hb
＄	|hb
$	|hb
￡	|hb
£	|hb
৳	|hb
฿	|hb
₠	|hb
₡	|hb
₢	|hb
₣	|hb
₤	|hb
₥	|hb
₦	|hb
₧	|hb
₨	|hb
₩	|hb
₪	|hb
₫	|hb
€	|hb
₭	|hb
₮	|hb
₯	|hb
₰	|hb
₱	|hb
₲	|hb
₳	|hb
₴	|hb
₵	|hb
₶	|hb
₷	|hb
₸	|hb
₹	|hb
₺	|hb
₻	|hb
₼	|hb
₽	|hb
₾	|hb
₿	|hb
⃀	|hb
﷼	|hb
⿰	|jg
⿱	|jg
⿲	|jg
⿳	|jg
⿴	|jg
⿵	|jg
⿶	|jg
⿷	|jg
⿸	|jg
⿹	|jg
⿺	|jg
⿻	|jg
〾	|jg
⿼	|jg
⿽	|jg
⿾	|jg
⿿	|jg
㇯	|jg
乛	|pp
冫	|pp
丷	|pp
龹	|pp
⺌	|pp
龸	|pp
亻	|pp
亼	|pp
亽	|pp
仒	|pp
冖	|pp
冂	|pp
冃	|pp
冄	|pp
宀	|pp
罒	|pp
㓁	|pp
罓	|pp
冈	|pp
凵	|pp
厶	|pp
刂	|pp
勹	|pp
匚	|pp
匸	|pp
卩	|pp
阝	|pp
厂	|pp
丆	|pp
广	|pp
壬	|pp
訁	|pp
讠	|pp
釒	|pp
钅	|pp
飠	|pp
饣	|pp
龺	|pp
攵	|pp
夂	|pp
夊	|pp
尢	|pp
尣	|pp
兂	|pp
旡	|pp
巜	|pp
巛	|pp
彐	|pp
彑	|pp
彡	|pp
彳	|pp
龰	|pp
辶	|pp
廴	|pp
㞢	|pp
忄	|pp
㣺	|pp
扌	|pp
爫	|pp
龵	|pp
廾	|pp
歺	|pp
癶	|pp
氵	|pp
氺	|pp
火	|pp
灬	|pp
爿	|pp
丬	|pp
疒	|pp
牜	|pp
⺶	|pp
犭	|pp
豕	|pp
豸	|pp
虍	|pp
艹	|pp
卝	|pp
龷	|pp
丗	|pp
龶	|pp
芈	|pp
丵	|pp
菐	|pp
黹	|pp
礻	|pp
衤	|pp
糸	|pp
糹	|pp
纟	|pp
龻	|pp
镸	|pp
髟	|pp
襾	|pp
覀	|pp
吅	|pp
㗊	|pp
㠭	|pp
㸚	|pp
叕	|pp
一	|kx
丨	|kx
丶	|kx
丿	|kx
乙	|kx
亅	|kx
二	|kx
亠	|kx
人	|kx
儿	|kx
入	|kx
八	|kx
冂	|kx
冖	|kx
冫	|kx
几	|kx
凵	|kx
刀	|kx
力	|kx
勹	|kx
匕	|kx
匚	|kx
匸	|kx
十	|kx
卜	|kx
卩	|kx
厂	|kx
厶	|kx
又	|kx
口	|kx
囗	|kx
土	|kx
士	|kx
夂	|kx
夊	|kx
夕	|kx
大	|kx
女	|kx
子	|kx
宀	|kx
寸	|kx
小	|kx
尢	|kx
尸	|kx
屮	|kx
山	|kx
巛	|kx
工	|kx
己	|kx
巾	|kx
干	|kx
幺	|kx
广	|kx
廴	|kx
廾	|kx
弋	|kx
弓	|kx
彐	|kx
彡	|kx
彳	|kx
心	|kx
戈	|kx
戶	|kx
手	|kx
支	|kx
攴	|kx
文	|kx
斗	|kx
斤	|kx
方	|kx
无	|kx
日	|kx
曰	|kx
月	|kx
木	|kx
欠	|kx
止	|kx
歹	|kx
殳	|kx
毋	|kx
比	|kx
毛	|kx
氏	|kx
气	|kx
水	|kx
火	|kx
爪	|kx
父	|kx
爻	|kx
爿	|kx
片	|kx
牙	|kx
牛	|kx
犬	|kx
玄	|kx
玉	|kx
瓜	|kx
瓦	|kx
甘	|kx
生	|kx
用	|kx
田	|kx
疋	|kx
疒	|kx
癶	|kx
白	|kx
皮	|kx
皿	|kx
目	|kx
矛	|kx
矢	|kx
石	|kx
示	|kx
禸	|kx
禾	|kx
穴	|kx
立	|kx
竹	|kx
米	|kx
糸	|kx
缶	|kx
网	|kx
羊	|kx
羽	|kx
老	|kx
而	|kx
耒	|kx
耳	|kx
聿	|kx
肉	|kx
臣	|kx
自	|kx
至	|kx
臼	|kx
舌	|kx
舛	|kx
舟	|kx
艮	|kx
色	|kx
艸	|kx
虍	|kx
虫	|kx
血	|kx
行	|kx
衣	|kx
襾	|kx
見	|kx
角	|kx
言	|kx
谷	|kx
豆	|kx
豕	|kx
豸	|kx
貝	|kx
赤	|kx
走	|kx
足	|kx
身	|kx
車	|kx
辛	|kx
辰	|kx
辵	|kx
邑	|kx
酉	|kx
釆	|kx
里	|kx
金	|kx
長	|kx
門	|kx
阜	|kx
隶	|kx
隹	|kx
雨	|kx
靑	|kx
非	|kx
面	|kx
革	|kx
韋	|kx
韭	|kx
音	|kx
頁	|kx
風	|kx
飛	|kx
食	|kx
首	|kx
香	|kx
馬	|kx
骨	|kx
高	|kx
髟	|kx
鬥	|kx
鬯	|kx
鬲	|kx
鬼	|kx
魚	|kx
鳥	|kx
鹵	|kx
鹿	|kx
麥	|kx
麻	|kx
黃	|kx
黍	|kx
黑	|kx
黹	|kx
黽	|kx
鼎	|kx
鼓	|kx
鼠	|kx
鼻	|kx
齊	|kx
齒	|kx
龍	|kx
龜	|kx
龠	|kx
㇀	|bh
㇁	|bh
㇂	|bh
㇃	|bh
㇄	|bh
㇅	|bh
㇆	|bh
㇇	|bh
㇈	|bh
㇉	|bh
㇊	|bh
㇋	|bh
㇌	|bh
㇍	|bh
㇎	|bh
㇏	|bh
㇐	|bh
㇑	|bh
㇒	|bh
㇓	|bh
㇔	|bh
㇕	|bh
㇖	|bh
㇗	|bh
㇘	|bh
㇙	|bh
㇚	|bh
㇛	|bh
㇜	|bh
㇝	|bh
㇞	|bh
㇟	|bh
㇠	|bh
㇡	|bh
㇢	|bh
㇣	|bh
、	|bd
。	|bd
「	|bd
」	|bd
『	|bd
』	|bd
【	|bd
】	|bd
〈	|bd
〉	|bd
《	|bd
》	|bd
⟨	|bd
⟩	|bd
₋	|bd
⁻	|bd
―	|bd
˗	|bd
ˉ	|bd
＿	|bd
﹍	|bd
﹎	|bd
．	|bd
¡	|bd
‼	|bd
⁉	|bd
¿	|bd
؟	|bd
⁈	|bd
⁇	|bd
､	|bd
｡	|bd
〃	|bd
〄	|bd
々	|bd
〆	|bd
〇	|bd
〒	|bd
〓	|bd
〔	|bd
〕	|bd
〖	|bd
〗	|bd
〘	|bd
〙	|bd
〚	|bd
〛	|bd
〜	|bd
〝	|bd
〞	|bd
〟	|bd
〠	|bd
〰	|bd
〱	|bd
〲	|bd
〳	|bd
〴	|bd
〵	|bd
〶	|bd
〷	|bd
〻	|bd
〼	|bd
〽	|bd
﹅	|bdz
﹆	|bdz
﹁	|bdz
﹂	|bdz
﹃	|bdz
﹄	|bdz
︙	|bdz
︱	|bdz
︻	|bdz
︼	|bdz
︗	|bdz
︘	|bdz
︵	|bdz
︶	|bdz
︷	|bdz
︸	|bdz
︹	|bdz
︺	|bdz
︿	|bdz
﹀	|bdz
︽	|bdz
︾	|bdz
︰	|bdz
︲	|bdz
︳	|bdz
︴	|bdz
﹉	|bdz
﹊	|bdz
﹋	|bdz
﹌	|bdz
﹍	|bdz
﹎	|bdz
﹏	|bdz
﹇	|bdz
﹈	|bdz
︐	|bdz
︑	|bdz
︒	|bdz
︔	|bdz
︕	|bdz
︖	|bdz
ā	|py
á	|py
ǎ	|py
à	|py
ō	|py
ó	|py
ǒ	|py
ò	|py
ê	|py
ê̄	|py
ế	|py
ê̌	|py
ề	|py
ē	|py
é	|py
ě	|py
è	|py
ī	|py
í	|py
ǐ	|py
ì	|py
ū	|py
ú	|py
ǔ	|py
ù	|py
ü	|py
ǖ	|py
ǘ	|py
ǚ	|py
ǜ	|py
ḿ	|py
m̀	|py
ń	|py
ň	|py
ǹ	|py
ẑ	|py
ĉ	|py
ŝ	|py
ŋ	|py
Ā	|pyd
Á	|pyd
Ǎ	|pyd
À	|pyd
Ō	|pyd
Ó	|pyd
Ǒ	|pyd
Ò	|pyd
Ê	|pyd
Ê̄	|pyd
Ế	|pyd
Ê̌	|pyd
Ề	|pyd
Ē	|pyd
É	|pyd
Ě	|pyd
È	|pyd
Ī	|pyd
Í	|pyd
Ǐ	|pyd
Ì	|pyd
Ū	|pyd
Ú	|pyd
Ǔ	|pyd
Ù	|pyd
Ü	|pyd
Ǖ	|pyd
Ǘ	|pyd
Ǚ	|pyd
Ǜ	|pyd
Ḿ	|pyd
M̀	|pyd
Ń	|pyd
Ň	|pyd
Ǹ	|pyd
Ẑ	|pyd
Ĉ	|pyd
Ŝ	|pyd
Ŋ	|pyd
ㄅ	|zy
ㄆ	|zy
ㄇ	|zy
ㄈ	|zy
ㄉ	|zy
ㄊ	|zy
ㄋ	|zy
ㄌ	|zy
ㄍ	|zy
ㄎ	|zy
ㄏ	|zy
ㄐ	|zy
ㄑ	|zy
ㄒ	|zy
ㄓ	|zy
ㄔ	|zy
ㄕ	|zy
ㄖ	|zy
ㄗ	|zy
ㄘ	|zy
ㄙ	|zy
ㄧ	|zy
ㄨ	|zy
ㄩ	|zy
ㄚ	|zy
ㄛ	|zy
ㄜ	|zy
ㄝ	|zy
ㄞ	|zy
ㄟ	|zy
ㄠ	|zy
ㄡ	|zy
ㄢ	|zy
ㄣ	|zy
ㄤ	|zy
ㄥ	|zy
ㄦ	|zy
ㄪ	|zy
ㄫ	|zy
ㄬ	|zy
ㄭ	|zy
ㆠ	|zy
ㆡ	|zy
ㆢ	|zy
ㆣ	|zy
ㆤ	|zy
ㆥ	|zy
ㆦ	|zy
ㆧ	|zy
ㆨ	|zy
ㆩ	|zy
ㆪ	|zy
ㆫ	|zy
ㆬ	|zy
ㆭ	|zy
ㆮ	|zy
ㆯ	|zy
ㆰ	|zy
ㆱ	|zy
ㆲ	|zy
ㆳ	|zy
ㆴ	|zy
ㆵ	|zy
ㆶ	|zy
ㆷ	|zy
ˉ	|sd
ˊ	|sd
ˇ	|sd
ˋ	|sd
ˆ	|sd
˙	|sd
˜	|sd
˥	|sd
˦	|sd
˧	|sd
˨	|sd
˩	|sd
꜀	|sd
꜁	|sd
꜂	|sd
꜃	|sd
꜄	|sd
꜅	|sd
꜆	|sd
꜇	|sd
'〪'	|sd
'〫'	|sd
'〬'	|sd
'〭'	|sd
㊀	|hzq
㊁	|hzq
㊂	|hzq
㊃	|hzq
㊄	|hzq
㊅	|hzq
㊆	|hzq
㊇	|hzq
㊈	|hzq
㊉	|hzq
㊊	|hzq
㊋	|hzq
㊌	|hzq
㊍	|hzq
㊎	|hzq
㊏	|hzq
㊐	|hzq
㊑	|hzq
㊒	|hzq
㊓	|hzq
㊔	|hzq
㊕	|hzq
㊖	|hzq
㊗	|hzq
㊘	|hzq
㊙	|hzq
㊚	|hzq
㊛	|hzq
㊜	|hzq
㊝	|hzq
㊞	|hzq
㊟	|hzq
㊠	|hzq
㊡	|hzq
㊢	|hzq
㊣	|hzq
㊤	|hzq
㊥	|hzq
㊦	|hzq
